currentTime,totalAngle,Y_val,Z_val
5559,4.57,-0.66,0.80
5579,4.83,-0.59,0.83
5600,4.83,-0.64,0.77
5620,4.83,-0.64,0.79
5641,4.75,-0.63,0.77
5661,4.75,-0.63,0.77
5682,4.66,-0.63,0.77
5702,4.48,-0.60,0.78
5723,4.04,-0.63,0.75
5743,3.69,-0.64,0.75
5764,3.52,-0.69,0.78
5784,3.52,-0.64,0.78
5811,3.69,-0.63,0.75
5831,3.78,-0.63,0.78
5852,3.87,-0.63,0.76
5872,3.87,-0.64,0.76
5893,3.87,-0.65,0.79
5913,4.13,-0.64,0.77
5935,4.31,-0.34,0.77
5955,3.52,-0.37,0.82
5976,1.05,-0.12,0.88
5996,-10.90,-0.14,0.94
6023,-27.69,-0.19,0.73
6044,-37.44,-0.09,0.61
6065,-49.04,0.03,0.73
6086,-86.84,-0.02,0.67
6107,-135.18,-0.43,0.98
6128,-176.22,-0.30,0.57
6149,-222.01,-0.09,0.66
6170,-280.90,-1.15,1.97
6191,-329.41,-0.52,1.63
6212,-389.88,0.15,0.95
6233,-474.96,-0.66,1.27
6254,-546.15,0.08,0.54
6275,-609.35,0.25,0.07
6296,-679.31,0.25,0.12
6317,-759.81,-1.12,1.44
6337,-832.06,0.23,0.80
6359,-897.28,-0.33,1.35
6380,-957.39,-0.72,1.74
6401,-1019.36,0.05,0.63
6422,-1087.03,-1.10,0.77
6443,-1144.34,-2.00,2.00
6471,-1226.51,-0.85,-1.02
6493,-1301.66,-0.78,-0.14
6514,-1346.22,-2.00,0.02
6535,-1362.13,-2.00,0.99
6556,-1367.93,-1.23,0.69
6578,-1368.37,-0.80,0.49
6598,-1368.37,-0.66,0.47
6620,-1368.37,-0.65,0.52
6640,-1368.37,-0.68,0.53
6662,-1368.28,-0.75,0.45
6682,-1368.37,-0.83,0.52
6704,-1367.14,-0.39,1.39
6724,-1366.88,-0.03,-0.23
6746,-1366.88,-0.02,-0.04
6766,-1367.05,-0.64,2.00
6788,-1365.64,0.01,0.63
6808,-1365.64,-0.11,0.96
6830,-1365.73,-0.13,1.03
6851,-1365.73,0.41,0.72
6872,-1365.73,0.00,0.97
6899,-1365.73,0.07,0.91
6920,-1365.73,0.06,0.92
6941,-1365.73,0.07,0.91
6962,-1365.73,0.06,0.93
6983,-1365.73,0.06,0.93
7004,-1365.73,0.06,0.92
7025,-1365.73,0.05,0.93
7046,-1365.73,0.06,0.93
7067,-1365.73,0.05,0.93
7088,-1365.73,0.06,0.93
7109,-1365.73,0.06,0.93
7133,-1365.73,0.06,0.93
7156,-1365.73,0.06,0.93
7177,-1365.64,0.06,0.93
7198,-1365.73,0.05,0.92
7220,-1365.73,0.05,0.95
7240,-1365.73,0.06,0.93
7262,-1365.73,0.06,0.93
7282,-1365.73,0.06,0.93
7304,-1365.73,0.06,0.93
7332,-1365.73,0.05,0.93
7354,-1365.73,0.06,0.93
7374,-1365.73,0.05,0.93
7396,-1365.73,0.06,0.93
7416,-1365.73,0.05,0.93
7438,-1365.73,0.06,0.93
7458,-1365.73,0.07,0.93
7480,-1365.73,0.06,0.93
7500,-1365.73,0.05,0.92
7522,-1365.64,0.06,0.92
7542,-1365.73,0.05,0.93
7564,-1365.73,0.07,0.94
7584,-1365.73,0.06,0.93
7606,-1365.73,0.06,0.92
7626,-1365.73,0.04,0.95
7648,-1365.73,0.06,0.92
7668,-1365.73,0.06,0.93
7690,-1365.73,0.07,0.92
7710,-1365.73,0.06,0.92
7732,-1365.73,0.05,0.93
7752,-1365.73,0.06,0.93
7771,-1365.73,0.06,0.93
7792,-1365.73,0.05,0.93
7820,-1365.64,0.11,0.94
7841,-1365.64,-0.07,0.99
7862,-1365.64,0.09,0.89
7883,-1365.64,0.07,0.91
7904,-1365.64,0.05,0.93
7925,-1365.64,0.05,0.92
7946,-1365.64,0.05,0.92
7967,-1365.64,0.05,0.93
7988,-1365.64,0.07,0.91
8009,-1365.64,0.07,0.91
